"","grid.id","X1","X2","X3","X4","X5"
"1",51,40,30,30,NA,NA
"2",71,40,30,20,NA,NA
"3",75,11,11,11,NA,NA
"4",83,40,30,30,NA,NA
"5",84,30,30,40,NA,NA
"6",92,20,40,40,NA,NA
"7",93,20,40,40,NA,NA
"8",166,30,30,30,NA,NA
"9",168,30,7,16,NA,NA
"10",170,19,19,19,NA,NA
"11",184,20,40,20,NA,NA
"12",185,20,40,20,NA,NA
"13",213,35,60,15,NA,NA
"14",216,65,20,25,NA,NA
"15",271,10,10,10,NA,NA
"16",272,10,10,10,NA,NA
"17",280,20,30,40,NA,NA
"18",282,20,30,30,NA,NA
"19",320,36,25,15,NA,NA
"20",339,40,30,20,NA,NA
"21",340,40,30,20,NA,NA
"22",341,20,20,20,NA,NA
"23",375,40,50,50,NA,NA
"24",417,20,50,35,NA,NA
"25",424,20,20,20,NA,NA
"26",426,20,35,15,NA,NA
"27",431,40,30,40,NA,NA
"28",486,40,40,30,NA,NA
"29",487,40,40,30,NA,NA
"30",520,40,50,50,NA,NA
"31",580,30,35,40,NA,NA
"32",643,50,25,45,NA,NA
"33",652,25,20,6,NA,NA
"34",653,10,35,40,NA,NA
"35",654,10,40,20,NA,NA
"36",717,20,30,50,NA,NA
"37",718,50,20,30,NA,NA
"38",752,20,24,30,NA,NA
"39",782,40,40,40,NA,NA
"40",783,40,40,40,NA,NA
"41",804,20,24,30,NA,NA
"42",825,24,24,24,NA,NA
"43",875,21,40,40,NA,NA
"44",878,45,32,35,NA,NA
"45",936,45,32,35,NA,NA
"46",981,60,20,20,NA,NA
"47",982,60,20,20,NA,NA
"48",993,45,32,35,NA,NA
"49",1116,30,35,40,NA,NA
"50",1120,20,25,30,NA,NA
"51",1165,50,20,45,NA,NA
"52",1166,45,50,20,NA,NA
"53",1167,40,40,18,NA,NA
"54",1180,20,25,30,NA,NA
"55",1297,50,40,40,NA,NA
"56",1383,20,14,40,NA,NA
"57",1390,40,60,40,NA,NA
"58",1391,60,40,40,NA,NA
"59",1439,50,50,20,NA,NA
"60",1508,50,20,30,NA,NA
"61",1580,30,20,50,NA,NA
"62",1608,40,20,40,NA,NA
"63",1610,20,40,30,NA,NA
"64",1611,40,30,20,NA,NA
"65",1678,20,40,40,NA,NA
"66",1777,40,30,20,NA,NA
"67",1830,20,40,30,NA,NA
"68",1883,20,40,40,NA,NA
"69",1928,40,40,40,NA,NA
"70",1929,40,40,40,NA,NA
"71",112,45,20,25,16,NA
"72",169,30,7,16,1,NA
"73",264,25,60,35,15,NA
"74",423,35,25,35,30,NA
"75",438,20,20,40,20,NA
"76",439,40,20,20,20,NA
"77",528,20,22,30,14,NA
"78",529,20,30,22,14,NA
"79",550,20,40,26,60,NA
"80",553,40,40,60,5,NA
"81",554,40,40,60,5,NA
"82",693,15,15,50,30,NA
"83",775,50,20,20,30,NA
"84",814,57,20,21,40,NA
"85",1218,30,30,25,34,NA
"86",1251,40,20,20,40,NA
"87",1290,30,30,25,34,NA
"88",1291,30,25,34,30,NA
"89",1385,20,30,40,30,NA
"90",1457,20,30,30,40,NA
"91",1776,60,40,60,30,NA
"92",1927,40,40,40,20,NA
"93",584,40,30,30,10,13
